ETF_CODE,ETF_NAME,SOURCE
486A,NEXT FUNDS EURO STOXX 50 (Unhedged) Exchange Traded Fund,ICE
487A,NEXT FUNDS German Equity DAX (Unhedged) Exchange Traded Fund,ICE
488A,iShares Yen Appreciation Focus ETF,ICE
489A,TSE REIT Logistics Focus ETF,ICE
491A,iShares S&P 500 Ex-Financials JPY Hedged ETF,ICE
492A,One ETF Japanese Government Bond High Coupon (Average Duration Below Ten Years),ICE
493A,One ETF Japanese Government Bond 1-3 years,ICE
494A,One ETF Japanese Government Bond 3-7 years,ICE
495A,One ETF Japanese Government Bond 7-10 years,ICE
496A,One ETF Japanese Government Bond 17-20 years,ICE
502A,Global X JPY Ultra Short-Term Bond ETF,ICE
512A,Global X Stablecoins & Tokenization ETF (ex-Japan),SOLACTIVE
513A,Global X Japan Defense Tech ETF,SOLACTIVE
515A,iShares JPY Investment Grade Corporate Bond Active ETF,ICE
516A,iFreeETF US Dollar Bull (1x),SPG
517A,iFreeETF US Dollar Bear (1x),SPG
518A,NEXT FUNDS FTSE Japan ex-REITs High Income Cash Flow 50 Index Exchange Traded Fund,ICE
521A,iFreeETF FANG+GOLD,SPG
526A,JPX Startup100 ETF,ICE
530A,NZAM ETF J-REIT Index (2 5 8 11),ICE
531A,NZAM ETF Nikkei High Dividend 50,ICE
532A,NZAM ETF TOPIX High Dividend 40,ICE
533A,NZAM ETF S&P500 (UNHEDGED),SPG
534A,NZAM ETF NASDAQ100 (UNHEDGED),SPG
535A,	NZAM ETF DAX (UNHEDGED),SPG
536A,	NZAM ETF MSCI-KOKUSAI (UNHEDGED),SPG
537A,NZAM ETF MSCI ACWI (UNHEDGED),SPG
538A,NZAM ETF US TREASURY 7-10Y (UNHEDGED),SPG
539A,NZAM ETF FTSE WGBI EX JAPAN (UNHEDGED),SPG
540A,Listed Index Fund Nikkei Bank Stock Top 10,SPG
541A,One ETF Topix High Dividend Growth Index,ICE
552A,MAXIS US AI Infrastructure Equity ETF,ICE
563A,Global X Nasdaq 100 Daily Covered Call ETF,ICE
564A,Global X S&P Developed Cash Flow Top 100 ETF,SOLACTIVE
566A,iFreeETF Bloomberg Japan ex-Financials High Dividend 50 Index,SPG
568A,iShares Silver ETF,ICE
569A,iShares Platinum ETF,ICE
570A,iShares 0-1 Year Japan Government Bond ETF,ICE
571A,iShares 1-3 Year Japan Government Bond ETF,ICE
572A,iShares 3-7 Year Japan Government Bond ETF,ICE
573A,iShares 20+  Year Japan Government Bond ETF,ICE
576A,Global X China Tech Covered Call ETF,ICE
577A,Global X Silver ETF,SOLACTIVE
578A,Global X Silver ETF (JPY Hedged),SOLACTIVE
579A,Global X Silver Miners ETF,SOLACTIVE
580A,Global X Copper Miners ETF,SOLACTIVE
585A,NV Bottom Up Equity Investment Strategy Active ETF,ICE
586A,NEXT FUNDS Nikkei Japan Entertainment Content Stock Index Exchange Traded Fund,ICE
600A,Nissay ETF Russell 2000 ,SPG
605A,NEXT FUNDS Japan Equity Policy Focus Exchange Traded Fund,ICE
606A,Gold 2x Bull ETF,ICE
608A,Listed Index Fund TSE REIT High Yield 30,SPG
609A,Global X Japan Wholesale Trade & Resource Business ETF,SOLACTIVE
610A,Global X Space Tech Top 10 ETF (ex-Japan),SOLACTIVE
611A,One ETF Japanese Government Bond 27-30 years,ICE
612A,One ETF JGB Futures Short Index,ICE
613A,iFreeETF German Government 0-3 Month Bill,SPG
626A,iFreeETF Gold Plus Income,SPG
