ETF_CODE,ETF_NAME_JP,ETF_TYPE,PROVIDER,LIST_DATE,LOT_SIZE,SECTOR,ASSET_CLASS,TOP_BUY_STOCK,NET_FLOW
2559,MAXIS World Equity (MSCI ACWI),PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
2560,MAXIS Carbon Efficient Japan Equity ETF,PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
2561,iShares Core Japan Government Bond ETF,BOND,iShares,,1.0,Bond,Bond,,0.0
2562,Listed Index Fund US Equity (Dow Average) Currency Hedge,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2563,iShares S&P 500 JPY Hedged ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
2564,Global X MSCI SuperDividend Japan ETF,PASSIVE,Global X,,1.0,Dividend,JP Equity,,0.0
2565,Global X Logistics J-REIT ETF,REIT,Global X,,1.0,Other,JP Equity,,0.0
2566,Listed Index Fund Nikkei ESG-REIT,REIT,Other,,1.0,Market,JP Equity,,0.0
2567,NZAM ETF S&P JPX Carbon Efficient Index,PASSIVE,Other,,10.0,Other,JP Equity,,0.0
2568,Listed Index Fund US Equity (NASDAQ100) No Currency Hedge,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2569,Listed Index Fund US Equity (NASDAQ100) Currency Hedge,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
257A,SMT ETF Selected Japan Equity Active,ACTIVE,Other,,1.0,Active,JP Equity,ＮＴＴ,3400.189229000001
258A,SMT ETF Selected J-REIT Active,ACTIVE,Other,,1.0,Other,JP Equity,,0.0
2620,iShares 1-3 Year US Treasury Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2621,iShares 20+ Year US Treasury Bond JPY Hedged ETF,BOND,iShares,,1.0,Bond,Bond,,0.0
2624,iFreeETF Nikkei225 (Quarterly Dividend Type),PASSIVE,iFree,,1.0,Market,JP Equity,,0.0
2625,iFreeETF TOPIX (Quarterly Dividend Type),PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2626,Global X Digital Innovation Japan ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2627,Global X E-Commerce Japan ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2628,iFreeETF STAR50 ETF,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2629,iFreeETF GBA100 ETF,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2630,MAXIS S&P500 US Equity (JPY Hedged),PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
2631,MAXIS NASDAQ100,PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
2632,MAXIS NASDAQ100 (JPY Hedged),PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
2633,NEXT FUNDS S&P 500 (Unhedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Other,JP Equity,,0.0
2634,NEXT FUNDS S&P 500 (Yen-Hedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2636,Global X MSCI Governance-Quality Japan ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2637,Global X CleanTech Japan ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2638,Global X Japan Robotics & AI ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2639,Global X Japan Bio & Med Tech ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2640,Global X Japan Games & Animation ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2641,Global X Japan Global Leaders ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2642,SMT ETF Carbon Efficient Index Japan Equity,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
2643,NEXT FUNDS MSCI Japan Country Selection Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2644,Global X Japan Semiconductor ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2645,Global X Japan Leisure & Entertainment ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2646,Global X Japan Metal Business ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2647,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year) Index (Unhedged) Exchange Traded Fund,BOND,NEXT FUNDS,,1.0,Bond,Bond,,0.0
2648,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund,BOND,NEXT FUNDS,,1.0,Bond,Bond,,0.0
2649,iShares Ginnie Mae MBS JPY Hedged ETF,PASSIVE,iShares,,10.0,Bond,Bond,,0.0
273A,SBI Saudi Arabia Equity Exchange Traded Fund,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
282A,Global X Japan Semiconductor Top 10 ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2836,Global X Japan Fintech ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2837,Global X Japan Mid & Small Cap Leaders ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2838,MAXIS 7-10 Year US Treasury Bond ETF (Unhedged),BOND,MAXIS,,1.0,Bond,Bond,,0.0
2839,MAXIS 7-10 Year US Treasury Bond ETF (Hedged),BOND,MAXIS,,1.0,Bond,Bond,,0.0
283A,Global X US Tech Dividend Aristocrats ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2840,iFreeETF NASDAQ100 (NON HEDGED),PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2841,iFreeETF NASDAQ100 (JPY HEDGED),PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
2842,iFreeETF NASDAQ100 Inverse,LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
2843,Listed Index Fund Australian Government Bond (Currency Hedge),BOND,Other,,1.0,Bond,Bond,,0.0
2844,Listed Index Fund Australian Government Bond (No Currency Hedge),BOND,Other,,1.0,Bond,Bond,,0.0
2845,NEXT FUNDS NASDAQ-100(R) (Yen-Hedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2846,NEXT FUNDS DJIA (Yen-Hedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2847,Global X Japan New Growth Infrastructure ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2848,Global X MSCI Japan Climate Change ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2849,Global X Morningstar Japan High Dividend ESG ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2851,iShares MSCI Japan SRI ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
2852,iShares Japan Green REIT ETF,REIT,iShares,,10.0,Other,JP Equity,,0.0
2853,iShares Climate Risk-Adjusted Global ex Japan Government Bond JPY Hedged ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2854,Global X Japan Tech Top 20 ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2855,Global X Green J-REIT ETF,REIT,Global X,,1.0,Other,JP Equity,,0.0
2856,iShares 3-7 Year US Treasury Bond JPY Hedged ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2857,iShares Germany Government Bond JPY Hedged ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
2858,Global X Nikkei 225 Covered Call ETF (option premium reinvestment type),PASSIVE,Global X,,1.0,Market,JP Equity,,0.0
2859,NEXT FUNDS EURO STOXX 50 (Yen-Hedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2860,NEXT FUNDS German Equity DAX (Yen-Hedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
2861,Listed Index Fund France Government Bond (No Currency Hedge),BOND,Other,,1.0,Bond,Bond,,0.0
2862,Listed Index Fund France Government Bond (Currency Hedge),BOND,Other,,1.0,Bond,Bond,,0.0
2864,Global X Logistics REIT ETF,REIT,Global X,,1.0,Other,JP Equity,,0.0
2865,Global X Nasdaq 100 Covered Call ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2866,Global X U.S. Preferred Security ETF,PASSIVE,Global X,,1.0,Bond,Bond,,0.0
2867,Global X Autonomous & EV ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2868,Global X S&P 500 Covered Call ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
2869,iFreeETF NASDAQ100 Leveraged (2x),LEVERAGED_INVERSE,iFree,,1.0,Other,JP Equity,,0.0
2870,iFreeETF NASDAQ100 Double Inverse (-2x),LEVERAGED_INVERSE,iFree,,1.0,Leveraged,Leveraged/Inverse,,0.0
294A,NEXT FUNDS MSCI Global Climate 500 Japan Selection Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
295A,One ETF FTSE Saudi Arabia ETF,PASSIVE,One ETF,,1.0,Other,JP Equity,,0.0
313A,iShares S&P 500 Top 20 ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
314A,iShares Gold ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
315A,Global X Japan Bank High Dividend ETF,PASSIVE,Global X,,1.0,Market,JP Equity,,0.0
316A,iFreeETF FANG+ PCF,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
328A,Global X Japan Pricing Power Leaders ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
346A,NEXT FUNDS S&P 500 Semiconductors & Semiconductor Equipment (Industry Group) 35% Capped Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Semiconductor,JP Equity,,0.0
348A,MAXIS Yomiuri333 Japan Stock ETF,PASSIVE,MAXIS,,10.0,Other,JP Equity,ＨＯＹＡ,28.111963999995965
349A,SMDAM Active ETF Japanese Gross Equities,ACTIVE,Other,,10.0,Active,JP Equity,日清紡ホールディングス,3200.0
354A,iFreeETF Bloomberg Japan High Dividend 50 Index,PASSIVE,iFree,,1.0,Dividend,JP Equity,,0.0
356A,Global X S&P 500 Cash Flow Top 100 ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
360A,TSE REIT Core ETF,REIT,Other,,10.0,Other,JP Equity,,0.0
363A,IFREEETF FTSE100 ETF,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
364A,NEXT FUNDS S&P 500 Dividend Aristocrats Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
376A,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year) Index (75% Yen-Hedged) Exchange Traded Fund,BOND,NEXT FUNDS,,1.0,Bond,Bond,,0.0
379A,Global X S&P 500 ETF (Dynamic Protection),PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
380A,Global X China Tech ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
381A,IFREEETF US TREASURY BOND 3-5 YEAR (NON HEDGED),BOND,iFree,,1.0,Bond,Bond,,0.0
382A,IFREEETF US TREASURY BOND 3-5 YEAR (JPY HEDGED),BOND,iFree,,1.0,Bond,Bond,,0.0
383A,MAXIS S&P500 Equal Weight ETF,PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
392A,iShares Nasdaq Top 30 ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
394A,Sector Restructuring Select ETF TV,PASSIVE,Other,,10.0,Active,JP Equity,,0.0
395A,Sector Restructuring Select ETF Regional Banks,PASSIVE,Other,,10.0,Active,JP Equity,,0.0
396A,Sector Restructuring Select ETF Event-Driven REITs,REIT,Other,,10.0,Other,JP Equity,,0.0
399A,Listed Index Fund Nikkei 225 High Dividend Yield Stock 50,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
404A,Global X China Tech Top 10 ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
408A,iShares A.I. Global Innovation Active ETF,ACTIVE,iShares,,10.0,Other,JP Equity,,0.0
412A,NEXT FUNDS TIP FactSet Taiwan Innovative Technology 50 Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
413A,iFreeETF Cathay Taiwan Tech Leader Index,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
424A,Global X Gold ETF (JPY Hedged),PASSIVE,Global X,,10.0,Other,JP Equity,,0.0
425A,Global X Gold ETF,PASSIVE,Global X,,10.0,Other,JP Equity,,0.0
426A,NISSAY ETF S&P 500 EQUAL WEIGHT,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
435A,iFreeETF Japan Equity Dividend Rotation Strategy,PASSIVE,iFree,,1.0,Active,JP Equity,,0.0
443A,iFreeETF Tokyo Stock Exchange REIT Index (Feb/May/Aug/Nov Dividend Type),REIT,iFree,,1.0,Other,JP Equity,,0.0
447A,State Street SPDR Gold ETF (JPY Unhedged),PASSIVE,Other,,10.0,Other,JP Equity,,0.0
448A,State Street SPDR Gold ETF (JPY Hedged),PASSIVE,Other,,10.0,Other,JP Equity,,0.0
449A,State Street SPDR S&P 500 ETF (JPY Unhedged),PASSIVE,Other,,10.0,Other,JP Equity,,0.0
450A,State Street SPDR S&P 500 ETF (JPY Hedged),PASSIVE,Other,,10.0,Other,JP Equity,,0.0
451A,State Street SPDR S&P 500 High Dividend ETF (JPY Unhedged),PASSIVE,Other,,10.0,Dividend,JP Equity,,0.0
452A,iShares S&P 500 Premium Income ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
453A,iShares 20+ Year US Treasury Bond Premium Income ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
459A,Nomura High-Yield J-REIT Index ETF,REIT,Other,,1.0,Other,JP Equity,,0.0
461A,MAXIS Japan Equity High Dividend SMART 50 ETF,PASSIVE,MAXIS,,1.0,Dividend,JP Equity,ソニーフィナンシャルグループ,0.6455800000126127
465A,Global X Japan Nikkei225 Shareholder Return 40 ETF,PASSIVE,Global X,,1.0,Market,JP Equity,,0.0
466A,Global X Defense Tech ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
467A,Global X USD Investment Grade Corporate Bond ETF (JPY Hedged),BOND,Global X,,10.0,Bond,Bond,,0.0
468A,Global X USD Investment Grade Corporate Bond ETF,BOND,Global X,,10.0,Bond,Bond,,0.0
473A,NISSAY ETF NIKKEI 225 INDEX ETF,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
486A,NEXT FUNDS EURO STOXX 50 (Unhedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
487A,NEXT FUNDS German Equity DAX (Unhedged) Exchange Traded Fund,PASSIVE,NEXT FUNDS,,1.0,Other,JP Equity,,0.0
488A,iShares Yen Appreciation Focus ETF,PASSIVE,iShares,,10.0,Bond,Bond,,0.0
489A,TSE REIT Logistics Focus ETF,REIT,Other,,1.0,Other,JP Equity,,0.0
491A,iShares S&P 500 Ex-Financials JPY Hedged ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
492A,One ETF Japanese Government Bond High Coupon (Average Duration Below Ten Years),BOND,One ETF,,10.0,Bond,Bond,,0.0
493A,One ETF Japanese Government Bond 1-3 years,BOND,One ETF,,10.0,Bond,Bond,,0.0
494A,One ETF Japanese Government Bond 3-7 years,BOND,One ETF,,10.0,Bond,Bond,,0.0
495A,One ETF Japanese Government Bond 7-10 years,BOND,One ETF,,10.0,Bond,Bond,,0.0
496A,One ETF Japanese Government Bond 17-20 years,BOND,One ETF,,10.0,Bond,Bond,,0.0
502A,Global X JPY Ultra Short-Term Bond ETF,BOND,Global X,,10.0,Bond,Bond,,0.0
512A,Global X Stablecoins & Tokenization ETF (ex-Japan),PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
513A,Global X Japan Defense Tech ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
515A,iShares JPY Investment Grade Corporate Bond Active ETF,ACTIVE,iShares,,10.0,Bond,Bond,,0.0
516A,iFreeETF US Dollar Bull (1x),LEVERAGED_INVERSE,iFree,,1.0,Bond,Bond,,0.0
517A,iFreeETF US Dollar Bear (1x),LEVERAGED_INVERSE,iFree,,1.0,Bond,Bond,,0.0
518A,NEXT FUNDS FTSE Japan ex-REITs High Income Cash Flow 50 Index Exchange Traded Fund,REIT,NEXT FUNDS,,1.0,Dividend,JP Equity,,0.0
521A,iFreeETF FANG+GOLD,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
526A,JPX Startup100 ETF,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
530A,NZAM ETF J-REIT Index (2 5 8 11),REIT,Other,,1.0,Other,JP Equity,,0.0
531A,NZAM ETF Nikkei High Dividend 50,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
532A,NZAM ETF TOPIX High Dividend 40,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
533A,NZAM ETF S&P500 (UNHEDGED),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
534A,NZAM ETF NASDAQ100 (UNHEDGED),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
535A,	NZAM ETF DAX (UNHEDGED),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
536A,	NZAM ETF MSCI-KOKUSAI (UNHEDGED),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
537A,NZAM ETF MSCI ACWI (UNHEDGED),PASSIVE,Other,,1.0,Other,JP Equity,,0.0
538A,NZAM ETF US TREASURY 7-10Y (UNHEDGED),BOND,Other,,1.0,Bond,Bond,,0.0
539A,NZAM ETF FTSE WGBI EX JAPAN (UNHEDGED),PASSIVE,Other,,1.0,Bond,Bond,,0.0
540A,Listed Index Fund Nikkei Bank Stock Top 10,PASSIVE,Other,,1.0,Market,JP Equity,,0.0
541A,One ETF Topix High Dividend Growth Index,PASSIVE,One ETF,,10.0,Market,JP Equity,,0.0
552A,MAXIS US AI Infrastructure Equity ETF,PASSIVE,MAXIS,,1.0,Other,JP Equity,,0.0
563A,Global X Nasdaq 100 Daily Covered Call ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
564A,Global X S&P Developed Cash Flow Top 100 ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
566A,iFreeETF Bloomberg Japan ex-Financials High Dividend 50 Index,PASSIVE,iFree,,1.0,Dividend,JP Equity,,0.0
568A,iShares Silver ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
569A,iShares Platinum ETF,PASSIVE,iShares,,10.0,Other,JP Equity,,0.0
570A,iShares 0-1 Year Japan Government Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
571A,iShares 1-3 Year Japan Government Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
572A,iShares 3-7 Year Japan Government Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
573A,iShares 20+  Year Japan Government Bond ETF,BOND,iShares,,10.0,Bond,Bond,,0.0
576A,Global X China Tech Covered Call ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
577A,Global X Silver ETF,PASSIVE,Global X,,10.0,Other,JP Equity,,0.0
578A,Global X Silver ETF (JPY Hedged),PASSIVE,Global X,,10.0,Other,JP Equity,,0.0
579A,Global X Silver Miners ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
580A,Global X Copper Miners ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
585A,NV Bottom Up Equity Investment Strategy Active ETF,ACTIVE,Other,,1.0,Active,JP Equity,,0.0
586A,NEXT FUNDS Nikkei Japan Entertainment Content Stock Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Market,JP Equity,サンリオ,40700.0
600A,Nissay ETF Russell 2000 ,PASSIVE,Other,,1.0,Other,JP Equity,,0.0
605A,NEXT FUNDS Japan Equity Policy Focus Exchange Traded Fund,PASSIVE,NEXT FUNDS,,10.0,Active,JP Equity,,0.0
606A,Gold 2x Bull ETF,LEVERAGED_INVERSE,Other,,1.0,Market,JP Equity,,0.0
608A,Listed Index Fund TSE REIT High Yield 30,REIT,Other,,1.0,Other,JP Equity,,0.0
609A,Global X Japan Wholesale Trade & Resource Business ETF,PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
610A,Global X Space Tech Top 10 ETF (ex-Japan),PASSIVE,Global X,,1.0,Other,JP Equity,,0.0
611A,One ETF Japanese Government Bond 27-30 years,BOND,One ETF,,10.0,Bond,Bond,,0.0
612A,One ETF JGB Futures Short Index,BOND,One ETF,,10.0,Leveraged,Leveraged/Inverse,,0.0
613A,iFreeETF German Government 0-3 Month Bill,PASSIVE,iFree,,1.0,Bond,Bond,,0.0
626A,iFreeETF Gold Plus Income,PASSIVE,iFree,,1.0,Other,JP Equity,,0.0
